Accession,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F42,OCwt1,OCwt1.1,OCwt2,OCwt2.1,OCwt3,OCwt3.1,OCwt4,OCwt4.1,OCwt5,OCwt5.1,OCwt6,OCwt6.1,OCwt7,OCwt7.1,OCwt8,OCwt8.1,OCwt9,OCwt9.1,OCwt10,OCwt10.1,OCvar1,OCvar1.1,OCvar2,OCvar2.1,OCvar3,OCvar3.1,OCvar4,OCvar4.1,OCvar5,OCvar5.1,OCvar6,OCvar6.1,OCvar7,OCvar7.1,OCvar8,OCvar8.1,OCvar9,OCvar9.1,OCvar10,OCvar10.1,iBAQ G.P 1,iBAQ G.P 2,iBAQ G.P 3,iBAQ G.P 4,iBAQ G.P 5,iBAQ G.P 6,iBAQ G.P 7,iBAQ G.P 8,iBAQ G.P 9,iBAQ G.P 10,iBAQ P.P 1,iBAQ P.P 2,iBAQ P.P 3,iBAQ P.P 4,iBAQ P.P 5,iBAQ P.P 6,iBAQ P.P 7,iBAQ P.P 8,iBAQ P.P 9,iBAQ P.P 10,BENIGN_1,BENIGN_2,BENIGN_3,BENIGN_5,BENIGN_7,BENIGN_8,MALIGNANT_2,MALIGNANT_4,MALIGNANT_5,MALIGNANT_6,MALIGNANT_7,MALIGNANT_8,HGSOC_SA01,HGSOC_SA02,HGSOC_SA04,HGSOC_SA05,HGSOC_SA06,HGSOC_SA09,HGSOC_SA10,HGSOC_SA11,HGSOC_SA15,HGSOC_SA16,HGSOC_SC01,HGSOC_SC02,HGSOC_SC04,HGSOC_SC06,HGSOC_SC08,HGSOC_SC10,HGSOC_SC15,HGSOC_SC16,HGSOC_SC17,HGSOC_SC22,HGSOC_SC24,HGSOC_SC27,HGSOC_SC28,HGSOC_SC30,HGSOC_SC33,HGSOC_SC34
A0A0A0MS15,14924478,,,"790061,0625",,,"1272025,125",,"1516407,25",,"1004135,875",,10027923,41966357,31468475,4468652,20595726,42825920,20113770,5453724,,4488459,1866980,44376052,47137446,24311091,5837568,,,13828094,37946708,2544248,21262869,,,47210561,20203538,2570994,3460407,35080531,30097572,35457515,34922177,95820274,97124969,70693469,79187985,26950480,14636586,29469697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,69196018",,,"18,37459435","18,81918609",,,"17,09029784",,,,,,,"17,61684245","16,26757268",,"17,85120139",,,"17,65026754",,,,"18,21690622"
O75882,1651672513,2189397412,3151173229,2210305860,4330224553,"891062211,4",2454793754,1796238827,3998242564,4460360931,587734292,21301086276,19856751495,9533495678,8886212597,8928301426,5444311617,22107474234,15338008068,10908787345,8237131214,20297365199,12839887158,15618782745,13284083331,6732095055,5100853886,7953184090,6161073089,15168230488,10465359704,16536380852,15016687570,5534500976,6031583171,8144262403,8876283348,5090981629,4349742433,3411500513,2514706875,11652955136,10551109728,9410664714,9475336508,22641325319,11168317787,20777484551,16456973361,6003731305,3629508731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,65516509","23,36582851","24,06285424","23,43616269","23,87852206","22,96827596","23,37613148","23,26557055","23,34658245","23,33664449","23,85110101","23,65375574","23,73917946","23,56611252","23,519171","23,12955611","23,51816361","23,29173762","24,14556983","23,33901395","23,30488443","23,26975606","23,51748559","24,22021605","23,80316452","23,56611252"
P00338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852700,3006900,3850900,1840600,1531700,2956800,2284800,3797300,1321900,4783700,2922000,4809400,6366800,2125000,2827200,1295400,14583000,1770200,2300900,4312400,,,,,,,,,,,,,"16,19111643","16,07108317","16,92086869","16,33977418",,"15,94666453","15,90213145",,,,"16,28733706","16,60158944","16,75529388","17,9047292","16,0838615","18,01947611","16,90918413","16,69187166","15,30456554",,,"17,56218173","16,96092521","15,5793422","18,53840476","16,62777733"
P01019,21232468735,24881902376,15093418034,27158587626,31983446747,21191323320,19653392103,22791078208,17532623660,15814860406,29385803876,110911000000,143088000000,153186000000,141943000000,68606789127,74782372459,102924000000,96400859425,101943000000,110435000000,76561213195,51645977120,110621000000,86889712990,116464000000,82188264223,106602000000,76912369123,105641000000,75266056942,96016664904,99220144584,105416000000,119840000000,130675000000,133077000000,95258875786,89966657399,96140975723,71861461974,94944814887,80845606499,113812000000,92758307110,116582000000,105948000000,122853000000,96782443244,108155000000,76327188250,254760000,273990000,182680000,157080000,176850000,133410000,183600000,245080000,202250000,314810000,219810000,224020000,222350000,234950000,128600000,185490000,158170000,153530000,179720000,198810000,"0,9595056284","1,441476516","1,905396855","1,588661165","1,022019858","0,8911164295","0,763552155","1,343336342","1,962444865","0,981885305","0,9459581559","0,7144942558","26,81814443","26,98975614","27,61340583","27,19333173","27,26961741","27,40062561","26,93229631","26,73489022","27,06431702","27,38580851","27,37948987","26,77809685","27,24755873","27,57966417","27,40979298","26,80804981","27,31667085","27,2362179","27,67784802","27,08815442","27,07012592","26,69085265","26,79668701","27,13418769","26,88557302","27,02017896"
P01024,160477000000,81926596318,62097291605,55769470755,82443212929,32514193704,73135567077,64650004344,40768193188,164896000000,142867000000,267602000000,277370000000,270698000000,279103000000,170149000000,165809000000,132063000000,123754000000,193979000000,208133000000,243764000000,152421000000,499690000000,374302000000,594847000000,456342000000,390791000000,308373000000,509165000000,384531000000,323557000000,321516000000,221378000000,243491000000,268063000000,275813000000,244219000000,233631000000,460266000000,377146000000,342582000000,308036000000,171070000000,140064000000,173003000000,147344000000,153868000000,114288000000,385533000000,287261000000,2407000000,3050700000,2690300000,2183600000,1732100000,1378800000,2626900000,2457400000,2573700000,2097800000,2900200000,2430500000,2005700000,2092100000,1542200000,1915300000,2663700000,2123600000,2326700000,2629800000,"6,247875721","4,166636623","5,481715106","4,37376297","4,841424723","6,747943518","5,168640228","5,842033977","5,017861906","5,553947069","5,096631398","5,683186811","24,90259452","24,63498672","24,70187294","24,74414785","24,06099341","24,47351294","24,51485298","24,54035401","24,71310717","24,21607438","24,56050817","24,42376289","24,79371464","24,97612238","24,60469197","24,73514697","24,97365822","24,67133835","24,42376289","23,96860559","24,19149431","24,79448636","24,48843096","24,30165567","24,08862928","23,96837274"
P01709,,"13828738,5","8588331,25","133503077,4",83138387,,146258752,"24716550,38",52512237,50388062,,116895056,146299552,92461763,103702044,39474196,43663366,126510060,132590444,64989468,75315050,108313093,81512443,162839723,138322917,86078624,92900692,48160180,29807822,80473420,94775700,143547573,118426625,60414870,62924110,91417168,91345286,39294524,49623940,,,165013944,172781360,248423802,347788430,282083584,161552172,123975636,118495004,4708817,33385168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P02647,1979312997,1036672403,3679817296,1918942218,11342448647,1327135560,"809392704,4",1279950056,3525438633,1533209821,"685758571,7",928462657,1391733931,6185369018,7538946008,3386330161,3028237908,1588266496,1734883321,2595265467,2891020753,4147301832,2401505746,4209762420,3301071246,1923560558,1628024309,1118987775,1173010933,9310564711,7471611139,3418529645,3740343539,1557558403,2399103706,1336916378,1702716057,990432111,1311267574,2663238378,2421309330,2839703853,3007923792,2673173626,2359337136,2962894275,2931410889,23011928525,22896839823,16249523329,8809593067,15524000000,14253000000,14222000000,13772000000,14355000000,7762400000,10931000000,19697000000,16746000000,13963000000,12639000000,13933000000,13280000000,8789100000,10710000000,13324000000,13748000000,9448900000,12741000000,18544000000,"5,223440645","4,236421112","5,043437169","3,813198301","4,786298903","5,155906148","4,141005814","3,43293089","3,918360741","4,127524811","3,773272044","3,954851612","20,40231949","20,00779555","19,13117455","19,45009706","19,800053","19,92592902","19,44432855","20,90220154","18,69280301","19,77348944","22,21341721","20,09801688","19,5854513","20,03890134","21,54270246","20,00633931","20,99863525","20,7761068","21,10667715","19,57277054","19,31357475","20,36724941","20,51923885","21,28873008","21,08444809","20,44173632"
P02766,5298059285,2092099311,1725876765,2787105858,1430857548,2333844305,1639049659,2540472866,1360742844,1775537863,1450828622,11249000349,12068025611,7997576918,6672155738,10760160316,11124199630,7509801598,6483756423,5423304612,3071206055,4704303575,1495632736,7572167313,5782455707,13226490589,9014589226,4011059960,2592946677,4907308724,3170195958,15001301044,11780221167,6122682515,4933664409,5694809238,3868968793,2510389979,1627715010,4055048034,2809703877,10703730947,8447704525,9644944181,7925423954,13163916304,8790684207,9570676528,8849765501,7151959383,2783658980,511140000,378180000,381390000,197430000,2043100000,142880000,119400000,565700000,386140000,137990000,141360000,229520000,439430000,63194000,147520000,491010000,179590000,150730000,342950000,677370000,,,,,,,,,,,,,"22,43218009","22,40884154","21,93740648","22,45870132","21,93866279","22,63640784","22,59232553","21,97501205","21,60731345","22,44545313","22,23764118","22,85556559","23,0248172","22,85919546","21,74516035","22,51153922","22,13019845","22,54814587","22,32900351","21,96925938","21,84831762","21,9495693","22,11604615","22,55770755","22,5696393","22,17945817"
P02787,9496639468,48122045397,16485656669,2608372866,"723522696,7","176610349,3","230635221,6","214931963,7",97504971498,101513000000,3875407971,95649028888,94364118505,118428000000,108817000000,60270241671,61726770595,10482698781,10545196644,15257503334,18291756896,12167686753,8317976378,19006736996,13653896132,9452879005,7302355756,5087560743,4309105474,331926000000,248753000000,128276000000,122512000000,8080357773,10055316741,11938134357,14093955951,18796098932,19997629405,131977000000,104983000000,143925000000,130339000000,87395621095,79332683780,57718073526,44446349725,83634758028,71103942734,40020738039,26187956078,12239000000,7808200000,10946000000,7470100000,8053000000,4827600000,6064500000,9021500000,8673200000,7749300000,7333300000,8101900000,7966000000,3806800000,7334000000,8730100000,8466500000,5937600000,8837000000,11645000000,"5,679830521","4,509171563","4,93048068","4,043151449","4,955291737","5,771502643","4,188839152","4,37050816","4,422081302","4,354944503","4,493091713","4,595274668","26,25104727","20,89054318","22,60139349","24,54339762","20,28906288","21,75085085","23,8638333","22,5459548","20,94653677","22,49786384","23,64531626","22,99928652","23,85860726","23,96837274","24,07155106","24,53382623","21,45598696","22,36046461","25,76200364","21,00087956","21,0444953","23,89391344","24,53314245","19,50515101","25,13975748","25,25633026"
