Accession,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,HPwt1,HPwt1.1,HPwt2,HPwt2.1,HPwt3,HPwt3.1,HPwt4,HPwt4.1,HPwt5,HPwt5.1,HPwt6,HPwt6.1,HPwt7,HPwt7.1,HPwt8,HPwt8.1,HPwt9,HPwt9.1,HPwt10,HPwt10.1,HPvar1,HPvar1.1,HPvar2,HPvar2.1,HPvar3,HPvar3.1,HPvar4,HPvar4.1,HPvar5,HPvar5.1,HPvar6,HPvar6.1,HPvar7,HPvar7.1,HPvar8,HPvar8.1,HPvar9,HPvar9.1,HPvar10,HPvar10.1,HC_M195,HC_M197,HC_M198,HC_M203,HC_M207,HC_M208,HC_M214,HC_M215,HC_M216,HC_M225,HC_M228,HC_M230,HC_M232,HC_M234,HC_M241,HC_M243,HC_M251,HC_M260,HC_M266,HC_M267,HC_M273,HC_M274,HC_M275,HC_M276
A0A0A0MS15,78403560,2473309,6397147,"632792,5625",72738156,"3546245,625",55787337,98696316,31595860,83289110,53880244,146276480,94285306,30333681,78157053,72751705,143487788,61723060,151271644,27207344,44343031,63922257,38641793,108098950,71822691,41861571,32409958,664579451,535790219,136395722,132216576,182556040,431139008,199012156,291545547,321026982,315997228,49080668,154612498,126236842,126584910,49488678,96588426,216709594,162361860,144267001,98868241,643396885,450347220,360881587,324988011,,,,,,,,,,,,,,,,,,,,,,,,
A0A0C4DH72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,1230234",,,,"17,96900736","18,22872537","17,48622656",,,"17,77183737",,,,,"18,54969669",,,,,"18,29200695",,"17,28076471"
O75882,6790731219,3040749831,2262326462,1209261303,3637393820,1029461757,3528236328,5225220110,4694125457,3776702355,2233849542,22846351516,13435218165,20062755480,18245685747,17558527556,16146650056,25169311372,23677886865,22639608812,15362449910,17926703063,14218782198,16653787290,11368734854,17401995001,15037339842,11254017469,9477809558,21062030513,14351973032,14103652594,12765136467,14108772654,10204586128,10984000126,11398991891,15181971152,10337259841,15285544112,11883123855,12132452814,10042403925,13585494668,5634502723,12407246111,8585016958,15279434266,10188718246,10029927928,6832532681,"23,55981005","23,71925577","23,76729413","23,82750828","23,88114722","24,005241","23,48730835","23,66753462","23,75720511","23,55955427","23,44840003","23,25677758","23,33029332","23,41556603","23,45671891","23,47162665","23,49222528","23,55584391","23,32600876","23,54202492","23,41047853","23,6388166","23,58198374","23,57899754"
P00338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,12681363",,"16,40184555",,,,"19,60876935","17,13639146","14,65805063","15,28769031","17,45105827",,,,,,,,"16,58484845",,,,,"18,63094393"
P01019,49905972916,28968954850,51644251306,20953752225,55848690146,36135053966,33284207482,38189200308,27994971123,48879248596,25716683647,135635000000,146137000000,176767000000,148722000000,170416000000,167044000000,118078000000,118783000000,126271000000,134681000000,179662000000,154592000000,112179000000,77867593875,129074000000,101396000000,100021000000,84044847024,121047000000,81239497094,117061000000,121572000000,94542896545,100428000000,87154793891,102637000000,143640000000,114322000000,107904000000,97412989923,122267000000,124297000000,105109000000,78912963276,134467000000,104960000000,84174328696,65225278769,103029000000,78098832269,"26,71960995","26,73489022","27,92383052","27,35818117","27,30159032","26,98975614","27,41058459","26,99054399","27,07393738","27,09688555","26,97343888","26,83424144","27,03561665","27,02017896","27,15292511","27,13937382","27,16755483","26,45869928","27,08903457","26,94556865","27,01629103","26,85692703","26,97393817","26,38292856"
P01024,231048000000,58646912399,70202326323,73936437949,82282237544,44446746828,81619173528,117306000000,99647581795,116456000000,145742000000,520181000000,519418000000,1479400000000,1378150000000,624652000000,740347000000,300454000000,299425000000,208877000000,207216000000,342432000000,289386000000,436701000000,306019000000,339890000000,271911000000,350807000000,281908000000,238738000000,165026000000,303677000000,310857000000,331762000000,323683000000,334268000000,353571000000,204990000000,159690000000,204632000000,210706000000,164627000000,161778000000,390390000000,278652000000,233387000000,173976000000,226875000000,170683000000,519638000000,370894000000,"24,08005509","23,63842227","24,06631432","23,65640091","23,50124995","23,69979005","23,72255139","23,62777055","23,55584391","23,419237","23,89045341","23,56509097","23,80092601","23,48469421","23,25538802","23,33468065","23,42725379","23,86046885","23,46102201","23,49872065","23,24538216","23,47785392","23,06866645","23,26998728"
P01709,"538688318,5","71482227,5","139832758,5",34472030,53204211,"63066644,5",34698468,149486240,155593351,271285932,19308129,220743989,151450898,81299172,76444615,193790042,149086508,236918768,243335594,138267632,137263586,200443428,184256836,112571633,83473573,224533076,183457264,384987100,443702528,284750444,222121444,275585159,201078272,236132716,144516880,298320960,302032512,300817388,288360749,86394555,98788416,446665465,418951438,183312412,113501916,223807419,161744113,339003746,261461480,157218832,145031024,,,,,,,,,,,,,,,,,,,,,,,,
P02647,71889872240,3651800179,16225647586,86425925637,69792282506,125056000000,24778334721,26631695412,25857079292,10606948977,15569709484,35325610633,38555817009,60834694977,56339582099,34632864484,46209885529,26386587260,35513261188,28613445615,37431015940,29129064528,23089151827,53992582655,42448412497,55394074974,45148283558,150571000000,156684000000,46577902674,42311448384,237891000000,232666000000,145836000000,137081000000,408708000000,453749000000,107260000000,98535559066,197278000000,220284000000,250675000000,249595000000,119119000000,90574907768,44359415074,35330058744,172520000000,124576000000,247600000000,158820000000,"21,1903347","20,57804812","20,49118599","21,61414916","20,48971319","20,08827874","21,71149943","20,5039694","21,30929244","20,81159469","21,5083505","21,78666651","20,78986232","21,76640628","21,36580822","20,88038168","21,22376026","20,04265092","22,09150358","21,02102546","21,61382731","22,19497626","21,33681751","22,26533179"
P02766,1373819230,3415331005,2330179971,3315043282,4121011540,2426044180,4472727967,3949859118,4217810534,2491073719,1132235639,8705188925,6809462702,12226942062,9102675151,20341077438,21781555361,19686463213,18903215798,15173305725,13370839070,15987052588,12960191711,10521754499,8070724657,20285880004,15815938480,11378184240,8655801901,16597940928,11525058654,13117177408,9613041891,11967883887,9051552473,13355501059,12558673595,17837008091,11847095234,13311884786,11243232074,9469995027,7702098479,14144149075,10396271077,17859670662,9939369182,10511530691,6928297833,8807571004,5969496259,"21,83530132","22,46147834","23,04414179","22,7628206","22,619781","22,87440362","22,47500688","23,09316577","22,4043004","22,36899047","22,49195106","22,36539552","22,49450219","22,60022428","22,27056796","22,59394599","22,59624832","22,17130298","22,26115328","22,51047444","22,09957365","22,31520815","22,05980087","22,15924899"
P02787,272408000000,7302868079,132207000000,17324200363,520043000000,27917357611,103709000000,295279000000,15873563606,159005000000,180533000000,111032000000,95152185767,401394000000,314496000000,436053000000,381409000000,538999000000,476375000000,235072000000,205454000000,213036000000,164986000000,383869000000,283934000000,225112000000,169013000000,587529000000,521088000000,380116000000,278410000000,1013030000000,924807000000,552424000000,548907000000,1040790000000,1050670000000,958361000000,724599000000,874230000000,706169000000,574300000000,497619000000,791575000000,600800000000,596446000000,420812000000,1541840000000,1044040000000,1254550000000,1017000000000,"23,59863148","24,0030765","22,11550131","21,63696336","20,82132192","21,53279861","25,14145772","23,26061143","24,04948822","22,24585673","21,38041175","20,68438235","25,92807836","24,74009795","24,30544576","25,78440825","25,0380003","27,7668408","23,88033025","21,70417565","25,55242835","25,38497503","24,81827226","22,10662966"
